$$MCTS$$CALL1     301E                 /02/2003 03:36:04
291082KHLU121135114.302210       BSNVAP---KHL    0......
311084KHLU121041614.302210       BSNVAP---KHL    0......
310184KHLU942087214.302210       BSNVAP---KHL    0......
310084KHLU522561014.302210       BSNVAP---KHL    0......
310582KHLU522747014.802210       BSNVAP---KHL    0......
290082KHLU521871315.102210       BSNVAP---KHL    0......
290782KHLU820277318.002210       BSNVAP---KHL    0......
310382FSCU331720918.602210       BSNVAP---KHL    0......
310982TTNU330834019.402210       BSNVAP---KHL    0......
310782KHLU120732519.402210       BSNVAP---KHL    0......
290308KHLU821668020.402210       BSNVAP---KHL    0......
290306KHLU820702920.402210       BSNVAP---KHL    0......
290182KHLU820599920.402210       BSNVAP---KHL    0......
290708TTNU344061320.402210       BSNVAP---KHL    0......
290506TTNU228829720.402210       BSNVAP---KHL    0......
310082CAXU604876722.102210       BSNVAP---KHL    0......
310182CAXU618156922.102210       BSNVAP---KHL    0......
290982TTNU346208422.202210       BSNVAP---KHL    0......
310308TTNU296944922.202210       BSNVAP---KHL    0......
290706TGHU218636024.402210       BSNVAP---KHL    0......
290504TTNU352233124.402210       BSNVAP---KHL    0......
290582TTNU229019124.402210       BSNVAP---KHL    0......
290104CAXU612744424.402210       BSNVAP---KHL    0......
290106KHLU522355624.402210       BSNVAP---KHL    0......
290382CAXU618111024.402210       BSNVAP---KHL    0......
290102KHLU821830024.402210       BSNVAP---KHL    0......
290304CAXU618167724.402210       BSNVAP---KHL    0......
310106KHLU821383924.402210       BSNVAP---KHL    0......
310304KHLU620583424.402210       BSNVAP---KHL    0......
310306KHLU520703024.402210       BSNVAP---KHL    0......
310708KHLU821567824.402210       BSNVAP---KHL    0......
310706KHLU620995324.402210       BSNVAP---KHL    0......
311082TGHU219464324.402210       BSNVAP---KHL    0......
310104CAXU616626624.402210       BSNVAP---KHL    0......
310506GLDU218858324.402210       BSNVAP---KHL    0......
310504KHLU821895424.402210       BSNVAP---KHL    0......
290302ORNU300718525.102210       BSNVAP---KHL    0......
290502TTNU204473126.102210       BSNVAP---KHL    0......
310302GLDU223638326.102210       BSNVAP---KHL    0......
310502TGHU222598126.102210       BSNVAP---KHL    0......
310102TTNU361114626.102210       BSNVAP---KHL    0......
310806CAXU6159483 5.002210       HKGVAP---KHL    0......
310604KHLU6200811 5.902210       HKGVAP---KHL    0......
290806KHLU8206974 6.302210       HKGVAP---KHL    0......
290604KHLU5204957 6.302210       HKGVAP---KHL    0......
310206KHLU5218251 7.002210       HKGVAP---KHL    0......
310204CAXU6160632 7.002210       HKGVAP---KHL    0......
310602TTNU3455275 9.702210       HKGVAP---KHL    0......
310804KHLU520647711.802210       HKGVAP---KHL    0......
290202GLDU206867512.002210       HKGVAP---KHL    0......
290602CAXU608258712.002210       HKGVAP---KHL    0......
290804KHLU821752012.602210       HKGVAP---KHL    0......
290408TTNU345356517.102210       HKGVAP---KHL    0......
290682TGHU225080817.102210       HKGVAP---KHL    0......
310882FSCU338942517.102210       HKGVAP---KHL    0......
310682CAXU618295017.102210       HKGVAP---KHL    0......
290204KHLU820880620.002210       HKGVAP---KHL    0......
310402FSCU332618121.002210       HKGVAP---KHL    0......
290404TTNU227985022.002210       HKGVAP---KHL    0......
290206TRLU317475022.002210       HKGVAP---KHL    0......
290402KHLU821177522.002210       HKGVAP---KHL    0......
290406TTNU296814422.002210       HKGVAP---KHL    0......
310406SCZU724971722.002210       HKGVAP---KHL    0......
310404KHLU522230722.002210       HKGVAP---KHL    0......
310408CAXU608324322.002210       HKGVAP---KHL    0......
310202CLHU267883223.002210       HKGVAP---KHL    0......
250582CAXU2171921 5.802210       LGBVAP---KHL    0......
270582GESU208148011.302210       LGBVAP---KHL    0......
150506KHLU6210527 3.802210       SHAVAP---KHL    0......
130304KHLU5222143 4.102210       SHAVAP---KHL    0......
150102TGHU2185507 4.802210       SHAVAP---KHL    0......
130308KHLU6202012 5.402210       SHAVAP---KHL    0......
130104GLDU2244769 5.802210       SHAVAP---KHL    0......
130106KHLU5227119 5.802210       SHAVAP---KHL    0......
150308KHLU5211540 6.402210       SHAVAP---KHL    0......
290882KHLU6212448 6.802210       SHAVAP---KHL    0......
150302GLDU2235520 7.202210       SHAVAP---KHL    0......
130306KHLU8203717 7.602210       SHAVAP---KHL    0......
150106KHLU9420574 8.302210       SHAVAP---KHL    0......
130102KHLU6210050 8.502210       SHAVAP---KHL    0......
150504KHLU6211483 9.602210       SHAVAP---KHL    0......
130302MBIU820973310.002210       SHAVAP---KHL    0......
150304KHLU820575111.102210       SHAVAP---KHL    0......
150104KHLU521668611.302210       SHAVAP---KHL    0......
130504GESU208025212.002210       SHAVAP---KHL    0......
150306KHLU520110912.902210       SHAVAP---KHL    0......
150502KHLU121289313.102210       SHAVAP---KHL    0......
130502KHLU942082516.402210       SHAVAP---KHL    0......
130704CRXU272798023.002210       SHAVAP---KHL    0......
130506KHLU120662723.002210       SHAVAP---KHL    0......
150704GLDU223665523.802210       SHAVAP---KHL    0......
060486KHLU640395318.704310       BSNBLBONXKHL    0......
060684TTNU421586019.904310       BSNBLBONXKHL    0......
100884TEXU733456517.904310       BSNCLL---KHL    0......
101084TTNU500627322.204310       BSNCLL---KHL    0......
180206TGHU432014422.304310       LGBCLL---KHL    0......
180286TTNU441635522.704310       LGBCLL---KHL    0......
180086TTNU421614622.804310       LGBCLL---KHL    0......
180408TTNU411606522.904310       LGBCLL---KHL    0......
180484TTNU404219422.904310       LGBCLL---KHL    0......
180488KHLU540837523.004310       LGBCLL---KHL    0......
180084KHLU944091923.004310       LGBCLL---KHL    0......
180082CAXU720844823.004310       LGBCLL---KHL    0......
180608SCZU328209123.104310       LGBCLL---KHL    0......
180288TTNU434293023.104310       LGBCLL---KHL    0......
180482TGHU420629723.204310       LGBCLL---KHL    0......
180406CRXU485205023.304310       LGBCLL---KHL    0......
180210TTNU502462023.404310       LGBCLL---KHL    0......
180088KHLU540421423.404310       LGBCLL---KHL    0......
180208KHLU540115423.404310       LGBCLL---KHL    0......
180410TGHU409256923.404310       LGBCLL---KHL    0......
180610TEXU733610423.404310       LGBCLL---KHL    0......
180404TGHU408423923.504310       LGBCLL---KHL    0......
260588GLDU046931823.504310       LGBCLL---KHL    0......
181084CAXU719010123.504310       LGBCLL---KHL    0......
260586CAXU720899923.604310       LGBCLL---KHL    0......
260788TTNU431714123.604310       LGBCLL---KHL    0......
181086TGHU409074023.704310       LGBCLL---KHL    0......
